,question,num_texte
792,"Quelle obligation subsiste pour un contrat de prêt établi sous seing privé, malgré l'absence d'obligation d'enregistrement pour obtenir une date certaine ?",72
328,"Que se passe-t-il si l’avis d’impôt est reçu en décembre, quel que soit le montant dû ?",32
614,"Dans quel délai doit-on déposer une déclaration de succession en France en l’absence de toute dispense, après le décès d’un parent?",58
159,Comment un entrepreneur relevant du régime réel détermine-t-il son bénéfice imposable à l’impôt sur le revenu ?,15
967,Quelle condition relative à l'occupation doit être respectée pour qu'une donation d'un immeuble neuf bénéficie de l'exonération temporaire ?,83
1235,Quelle déclaration doit être déposée par une SCI qui met en location meublée ?,96
739,"Pour les propriétés non bâties à Mayotte, à quelle date se réfère le marché locatif pour le calcul de la valeur locative cadastrale ?",68
222,Quel est le montant de la réduction d'impôt accordée pour un enfant poursuivant des études secondaires du premier cycle (collège) ?,21
592,"Si le conjoint décédé exerçait une activité non salariée relevant des bénéfices industriels et commerciaux (BIC), sous quel délai la déclaration de résultats doit-elle être déposée ?",56
612,Dans quel délai une déclaration d’IFI doit-elle être déposée pour un défunt dont le patrimoine imposable dépasse 1 300 000 € au 1er janvier de l’année du décès?,58
330,Dans quel délai doit-on saisir de nouvelles coordonnées bancaires pour qu’elles soient prises en compte dès le prélèvement du mois suivant ?,32
1367,Que devez-vous faire si vous constatez une erreur sur votre avis d'imposition après réception ?,106
584,Comment se qualifie l’avantage fiscal pour l’ex-conjoint qui verse un capital sur une période supérieure à douze mois pour la prestation compensatoire ?,55
1000,Quel taux est applicable sur la tranche des donations entre frères et sœurs n'excédant pas 24 430 € ?,84
1197,Dans quelle catégorie sont imposés les revenus issus de la location de locaux meublés ?,94
1072,"Quel seuil de prix, cumulé sur une année d'imposition, permet l'exonération des cessions d'actifs numériques ?",87
655,Que doit faire un contribuable s'il a opté pour l'étalement de l'imposition avant le 1er janvier 2020 ?,62
465,"Si le montant du prélèvement à l’échéance est modifié pour une seule échéance, quel est l’impact sur les échéances suivantes ?",41
235,"Quel est le taux exact de crédit d'impôt applicable aux dépenses effectivement supportées pour l'emploi d'un salarié à domicile en France, sous réserve de respecter les plafonds de dépenses ?",23
1016,Quels droits réels immobiliers peuvent être donnés par acte notarié ?,85
673,Quelle est la première démarche à effectuer lorsqu'un contribuable quitte la France pour l'étranger ?,64
544,"Si un enfant dispose de revenus propres et que ses parents décident de le rattacher à leur foyer fiscal, comment les revenus de cet enfant sont-ils pris en compte ?",51
